discourse_id,essay_id,prompt_name,discourse_effectiveness,effect_score,holistic_essay_score,grade_level,ell_status,student_disability_status,race_ethnicity,economically_disadvantaged,F02,f02_present,discourse_text
disc_lead_00080,essay_01079,Seeking the Author,Adequate,2,3.0,12,No,No,Black/African American,Yes,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00081,essay_01080,Exploring Venus,Adequate,2,4.0,12,No,No,Asian,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00082,essay_01081,Car-free cities,Ineffective,1,4.0,8,No,No,White,Yes,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00083,essay_01082,Driverless cars,Ineffective,1,3.0,10,No,No,White,Yes,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00084,essay_01083,Facial Action Coding System,Ineffective,1,4.0,12,No,No,Black/African American,No,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00085,essay_01084,Seeking the Author,Effective,3,4.0,11,No,No,White,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00086,essay_01085,Exploring Venus,Effective,3,4.0,9,Yes,No,Black/African American,Yes,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00087,essay_01086,Car-free cities,Effective,3,3.0,9,No,No,Black/African American,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00088,essay_01087,Driverless cars,Adequate,2,4.0,12,No,No,Asian,Yes,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00089,essay_01088,Facial Action Coding System,Adequate,2,4.0,12,Yes,No,Asian,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00090,essay_01089,Seeking the Author,Adequate,2,3.0,12,Yes,No,Black/African American,No,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00091,essay_01090,Exploring Venus,Adequate,2,2.0,8,No,No,White,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00092,essay_01091,Car-free cities,Adequate,2,4.0,8,Yes,Yes,Asian,No,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00093,essay_01092,Driverless cars,Adequate,2,3.0,11,No,No,Asian,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00094,essay_01093,Facial Action Coding System,Ineffective,1,3.0,9,No,No,Asian,No,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00095,essay_01094,Seeking the Author,Ineffective,1,4.0,8,No,No,White,No,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00096,essay_01095,Exploring Venus,Ineffective,1,3.0,10,No,Yes,Asian,No,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00097,essay_01096,Car-free cities,Effective,3,5.0,9,Yes,No,White,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00098,essay_01097,Driverless cars,Effective,3,3.0,8,No,Yes,Black/African American,No,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00099,essay_01098,Facial Action Coding System,Effective,3,3.0,10,No,No,Hispanic/Latino,Yes,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00100,essay_01099,Seeking the Author,Adequate,2,3.0,12,No,No,White,No,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00101,essay_01100,Exploring Venus,Adequate,2,4.0,10,No,No,White,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00102,essay_01101,Car-free cities,Adequate,2,3.0,12,No,No,Black/African American,Yes,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00103,essay_01102,Driverless cars,Adequate,2,3.0,8,No,No,Asian,Yes,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00104,essay_01103,Facial Action Coding System,Adequate,2,2.0,9,No,No,Black/African American,Yes,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00105,essay_01104,Seeking the Author,Adequate,2,4.0,11,No,No,White,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00106,essay_01105,Exploring Venus,Ineffective,1,3.0,12,No,No,Black/African American,No,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00107,essay_01106,Car-free cities,Ineffective,1,4.0,9,No,No,Hispanic/Latino,No,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00108,essay_01107,Driverless cars,Ineffective,1,2.0,9,No,No,Asian,No,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00109,essay_01108,Facial Action Coding System,Effective,3,3.0,9,Yes,Yes,Asian,No,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00110,essay_01109,Seeking the Author,Effective,3,4.0,8,No,No,Hispanic/Latino,No,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00111,essay_01110,Exploring Venus,Effective,3,3.0,10,No,No,Black/African American,Yes,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00112,essay_01111,Car-free cities,Adequate,2,3.0,10,No,No,Asian,No,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00113,essay_01112,Driverless cars,Adequate,2,3.0,10,No,Yes,White,Yes,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00114,essay_01113,Facial Action Coding System,Adequate,2,2.0,12,No,No,Hispanic/Latino,Yes,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00115,essay_01114,Seeking the Author,Adequate,2,3.0,8,No,No,White,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00116,essay_01115,Exploring Venus,Adequate,2,4.0,8,No,No,Hispanic/Latino,Yes,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00117,essay_01116,Car-free cities,Adequate,2,4.0,12,No,No,Asian,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00118,essay_01117,Driverless cars,Ineffective,1,3.0,9,No,No,Hispanic/Latino,No,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00119,essay_01118,Facial Action Coding System,Ineffective,1,2.0,10,No,No,Hispanic/Latino,No,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00120,essay_01119,Seeking the Author,Ineffective,1,2.0,9,No,No,Black/African American,Yes,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00121,essay_01120,Exploring Venus,Effective,3,4.0,11,No,No,Black/African American,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00122,essay_01121,Car-free cities,Effective,3,4.0,8,Yes,No,Asian,Yes,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00123,essay_01122,Driverless cars,Effective,3,4.0,9,No,No,Hispanic/Latino,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00124,essay_01123,Facial Action Coding System,Adequate,2,4.0,11,No,No,Hispanic/Latino,No,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00125,essay_01124,Seeking the Author,Adequate,2,4.0,10,No,Yes,White,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00126,essay_01125,Exploring Venus,Adequate,2,2.0,12,No,No,Asian,No,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00127,essay_01126,Car-free cities,Adequate,2,2.0,8,No,No,Asian,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00128,essay_01127,Driverless cars,Adequate,2,5.0,9,No,Yes,Black/African American,No,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00129,essay_01128,Facial Action Coding System,Adequate,2,3.0,10,No,No,Black/African American,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00130,essay_01129,Seeking the Author,Ineffective,1,3.0,11,No,Yes,Asian,Yes,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00131,essay_01130,Exploring Venus,Ineffective,1,4.0,8,No,No,Hispanic/Latino,Yes,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00132,essay_01131,Car-free cities,Ineffective,1,4.0,10,Yes,No,Black/African American,Yes,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00133,essay_01132,Driverless cars,Effective,3,3.0,9,No,No,Hispanic/Latino,Yes,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00134,essay_01133,Facial Action Coding System,Effective,3,4.0,8,No,No,White,No,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00135,essay_01134,Seeking the Author,Effective,3,3.0,10,No,Yes,Hispanic/Latino,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00136,essay_01135,Exploring Venus,Adequate,2,3.0,12,No,Yes,Asian,Yes,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00137,essay_01136,Car-free cities,Adequate,2,5.0,11,No,No,White,No,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00138,essay_01137,Driverless cars,Adequate,2,4.0,10,No,No,Black/African American,No,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00139,essay_01138,Facial Action Coding System,Adequate,2,5.0,8,Yes,No,Asian,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00140,essay_01139,Seeking the Author,Adequate,2,4.0,10,No,No,Black/African American,No,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00141,essay_01140,Exploring Venus,Adequate,2,3.0,8,No,No,White,No,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00142,essay_01141,Car-free cities,Ineffective,1,4.0,10,No,No,Black/African American,Yes,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00143,essay_01142,Driverless cars,Ineffective,1,3.0,12,No,No,Black/African American,No,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00144,essay_01143,Facial Action Coding System,Ineffective,1,3.0,8,No,No,White,Yes,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00145,essay_01144,Seeking the Author,Effective,3,4.0,9,No,No,Hispanic/Latino,No,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00146,essay_01145,Exploring Venus,Effective,3,3.0,11,No,No,Black/African American,No,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00147,essay_01146,Car-free cities,Effective,3,3.0,11,No,No,Black/African American,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00148,essay_01147,Driverless cars,Adequate,2,4.0,9,No,No,Black/African American,No,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00149,essay_01148,Facial Action Coding System,Adequate,2,3.0,9,Yes,No,White,Yes,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00150,essay_01149,Seeking the Author,Adequate,2,3.0,8,No,No,Asian,Yes,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
disc_lead_00151,essay_01150,Exploring Venus,Adequate,2,5.0,12,Yes,No,Hispanic/Latino,No,1,True,The facial landmark image was created by natural erosion even though some conspiracy theorists claim aliens sculpted a face on Mars.
disc_lead_00152,essay_01151,Car-free cities,Adequate,2,3.0,8,No,No,Asian,No,1,True,"Unless government regulation strictly controls emissions, air quality in metropolitan areas will continue to degrade rapidly."
disc_lead_00153,essay_01152,Driverless cars,Adequate,2,5.0,8,No,Yes,Hispanic/Latino,Yes,1,True,We should switch to electric cars provided that charging infrastructure is made universally accessible to all residents.
disc_lead_00154,essay_01153,Facial Action Coding System,Ineffective,1,4.0,8,Yes,No,Asian,No,1,True,I think technology is good because it helps people do homework and talk to friends faster.
disc_lead_00155,essay_01154,Seeking the Author,Ineffective,1,3.0,12,No,No,White,No,1,True,Cars are bad when they make too much noise in the morning.
disc_lead_00156,essay_01155,Exploring Venus,Ineffective,1,3.0,11,No,Yes,Hispanic/Latino,No,1,True,"Although Venus is very hot, we should go there right now."
disc_lead_00157,essay_01156,Car-free cities,Effective,3,3.0,10,No,No,Asian,No,1,True,Venus is a planet that scientists have tried to learn about although the environment is extraordinarily hostile and dangerous.
disc_lead_00158,essay_01157,Driverless cars,Effective,3,3.0,8,No,No,Asian,Yes,1,True,I strongly disagree with driverless vehicles because untested autonomous algorithms pose significant risks to pedestrians.
disc_lead_00159,essay_01158,Facial Action Coding System,Effective,3,4.0,10,No,No,White,No,1,True,"If scientists can figure out more about Venus, we can further our understanding of what this planet once was."
disc_lead_00160,essay_01159,Seeking the Author,Adequate,2,5.0,8,No,No,Asian,No,1,True,Students should participate in community service since it fosters empathy and builds essential civic responsibility.
disc_lead_00161,essay_01160,Exploring Venus,Adequate,2,3.0,8,No,No,Black/African American,Yes,1,True,"Although car-free cities reduce urban pollution, many citizens rely heavily on personal vehicles for daily commutes."
disc_lead_00162,essay_01161,Car-free cities,Adequate,2,4.0,12,No,No,Asian,No,1,True,People should support renewable technology because fossil fuels contribute directly to catastrophic global climate change.
